,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,No. of Receptions,Location,City/County,Postal Code
58,Prince Edward Mansions,125000,Flat / Apartment,811,2,2,2, Bayswater,London,W2 4WA
59,Harbut Road,73500,Flat / Apartment,969,2,2,2,,London,SW11 2RE
60,Chasefield Road,87500,House,1132,4,4,4,Tooting,London,SW17 8LW
61,Fernwood Avenue,125000,House,2498,6,6,6,,London,SW16 1RD
62,Havilland Mews,59500,Flat / Apartment,643,2,2,2,,London,W12 8BG
63,Hampermill Lane,167500,House,5022,3,3,3,Watford,Hertfordshire,WD19 4PL
64,Gatehill Road,259500,House,4858,6,6,6,Northwood,Middlesex,HA6 3QF
65,St. Davids Mews,82000,House,974,3,3,3,Morgan Street,London,E3 5AZ
66,Chester Close South,83000,Flat / Apartment,850,2,2,2,Regent's Park,London,NW1 4JG
67,Lady Somerset Road,50000,Flat / Apartment,458,1,1,1,Kentish Town,London,NW5 1TX
68,Nicholas Way,250000,House,5999,7,7,7,Northwood,Middlesex,HA6 2TR
69,Queens Grove,750000,House,3851,6,6,6,St John's Wood,London,NW8 6EN
70,Enmore Road,749950,Flat / Apartment,1382,3,3,3,Putney,London,SW15 6LL
71,The Chase,48000,Flat / Apartment,448,1,1,1,,London,SW4 0NP
72,Weymouth Mews,350000,House,1763,4,4,4,Marylebone,London,W1G 7EB
73,Portland Place,210000,Flat / Apartment,1208,3,3,3,Marylebone,London,W1B 1NX
74,Ternary Place,65000,New development,1023,2,2,2, Ealing,London,W5 3HJ
75,Weston Park,105000,House,1693,4,4,4,Thames Ditton,Surrey,KT7 0HQ
76,Lysias Road,130000,House,1890,5,5,5,,London,SW12 8BW
77,Prince Henry Road,62500,House,1348,4,4,4,Kidbrooke,London,SE7 8PP
78,Kirby Street,62500,Flat / Apartment,540,1,1,1,Clerkenwell,London,EC1N 8TE
79,Great Peter Street,110000,New development,791,2,2,2,Westminster,London,SW1P 2BN
80,Walton Street,595000,House,2646,4,4,4,,London,SW3 1RE
81,Chatto Road,132500,House,1375,4,4,4,,London,SW11 6LL
82,Redcliffe Square,125000,Flat / Apartment,1068,2,2,2,,London,SW10 9JY
83,Elm Park Lane,230000,House,1119,3,3,3,,London,SW3 6DB
84,Fassett Square,150000,House,1811,4,4,4,Hackney,London,E8 1DQ
85,Haverhill Road,135000,House,1603,5,5,5,,London,SW12 0HD
86,Duckman Tower,799995,Flat / Apartment,942,3,3,3, Canary Wharf,London,E14 9BL
87,St. Stephens Crescent,79500,Flat / Apartment,495,1,1,1,,London,W2 5QT
88,West Grove,52500,House,829,2,2,2,Woodford Green,Essex,IG8 7NP
89,Ackmar Road,259500,House,2120,5,5,5,Fulham,London,SW6 4UP
90,Romney House,82000,Flat / Apartment,631,2,2,2, Westminster,London,SW1P 3DS
91,Seymour Gardens,120000,House,2108,4,4,4,Surbiton,Surrey,KT5 8QE
92,Sycamore Gardens,68000,Flat / Apartment,705,2,2,2,,London,W6 0AP
93,Quarrendon Street,230000,House,1956,3,3,3,,London,SW6 3SU
94,Meredyth Road,230000,House,2083,5,5,5,Barnes,London,SW13 0DS
95,Baronsmead Road,40000,House,3714,5,5,5,Barnes,London,SW13 9RR
96,Sisters Avenue,50000,Flat / Apartment,516,2,2,2,,London,SW11 5SQ
97,Warrington Gardens,127500,Flat / Apartment,1185,3,3,3,Little Venice,London,W9 2PZ
98,Pembroke Villas,450000,House,2972,3,3,3,,London,W8 6PG
99,North End Road,175000,House,2125,4,4,4,Hampstead,London,NW11 7SY
100,Heath Hurst Road,260000,House,2350,4,4,4,Hampstead,London,NW3 2RU
101,Tercelet Terrace,345000,House,2354,4,4,4, Hampstead,London,NW3 7LW
102,Kersley Street,235000,House,2183,5,5,5,,London,SW11 4PR
103,Buckingham Gate,237500,Flat / Apartment,1218,2,2,2,St. James's,London,SW1E 6LB
104,Camelot Close,199500,House,1841,5,5,5,Wimbledon,London,SW19 7EA
105,Clarendon Close,10000,House,1154,4,4,4,South Hackney,London,E9 7BY
106,Klea Avenue,179500,House,2314,5,5,5,,London,SW4 9HG
107,Manor Place Depot,687500,New development,1178,3,3,3,,London,SE17 3BD
108,Molyneux Street,245000,House,1483,3,3,3,,London,W1H 5HW
109,Gatti House,350000,Flat / Apartment,1770,2,2,2,410 Strand,London,WC2R 0NR
110,Stanmore Way,122500,New development,2487,5,5,5,Loughton,Essex,IG10 2SA
111,Thornhill Crescent,85000,Flat / Apartment,773,2,2,2,Barnsbury,London,N1 1BJ
112,Belsize Square,78000,Flat / Apartment,654,2,2,2,,London,NW3 4HL
113,Ditton Grove,399950,New development,697,2,2,2,Esher,Surrey,KT10 9FN
114,Sylvan Gardens,1499950,House,2982,5,5,5,Surbiton,Surrey,KT6 6PP
115,Milton Road,90000,House,1081,3,3,3,,London,SW14 8JP
116,Drakefield Road,250000,House,3986,6,6,6,,London,SW17 8RR
117,Chiswick High Road,57500,Flat / Apartment,773,2,2,2,Chiswick,London,W4 4AG
118,Bewick Street,125000,House,1708,5,5,5,,London,SW8 3TA
119,Overstrand Mansions,157500,Flat / Apartment,1580,3,3,3,Prince of Wales Drive,London,SW11 4EZ
120,Somerset Road,475000,House,6602,6,6,6,Wimbledon,London,SW19 5JZ
121,Burleigh Place,117500,House,1909,4,4,4,Putney,London,SW15 6ES
122,Smarts Lane,69500,House,1337,3,3,3,Loughton,Essex,IG10 4BU
123,Freshford Street,120000,House,1771,4,4,4,,London,SW18 3TF
124,Ellerton Road,170000,House,2374,5,5,5,Wandsworth,London,SW18 3NH
125,Ladbroke Crescent & Basement,10000,House,2125,2,2,2,131 Ladbroke Grove,London,W11 1PS
126,Barts Square,163500,New development,903,2,2,2, City Of London,London,EC1A 9DS
127,Elizabeth Place,62500,Flat / Apartment,902,2,2,2, Esher,Surrey,KT10 8AP
128,Gleneldon Road,185000,House,3753,6,6,6,,London,SW16 2BZ
129,Windsor Court,240000,Flat / Apartment,1736,4,4,4, Bayswater,London,W2 4SN
130,Southbank Place,120000,New development,590,1,1,1, South Bank,London,SE1 7NJ
131,The oTTo,78500,New development,1173,2,2,2, The Otto Buildings,Downs Road,E5 8DS
132,Haldane Road,125000,House,1298,2,2,2,,London,SW6 7EU
133,Chipstead Street,230000,House,1912,3,3,3, Fulham,London,SW6 3SS
134,Ruxley Crescent,180000,New development,3877,4,4,4, Esher,Surrey,KT10 0TX
135,Sydney House,130000,Flat / Apartment,1465,3,3,3,Woodstock Road,London,W4 1DP
136,Waldemar Avenue,175000,House,1580,4,4,4,Fulham,London,SW6 5NA
137,Newstead Way,149500,House,2300,4,4,4,,London,SW19 5HR
138,Crescent Road,185500,House,2917,5,5,5,Kingston upon Thames,Surrey,KT2 7RD
139,Melody Road,162500,House,1953,4,4,4,,London,SW18 2QF
140,Hasker Street,315000,House,1449,3,3,3,,London,SW3 2LE
141,Spring Terrace,525000,House,4745,7,7,7,Richmond,Surrey,TW9 1LW
142,Montague Road,60000,House,4798,6,6,6,Richmond,Surrey,TW10 6QW
143,Fairfax Mews,139500,House,1902,5,5,5,Putney,London,SW15 6FF
144,Fairacres,138500,Flat / Apartment,2056,3,3,3, Putney,London,SW15 5LX
145,Clapham Common South Side,80000,Flat / Apartment,922,2,2,2,,London,SW4 9DX
146,Ormond Yard,369500,House,2316,4,4,4,St James's,London,SW1Y 6JT
147,Cadogan Square,220000,Flat / Apartment,1195,2,2,2,,London,SW1X 0JL
148,Cadogan Square,117500,Flat / Apartment,687,2,2,2,,London,SW1X 0JL
149,Aubrey Walk,950000,House,4815,5,5,5,,London,W8 7JG
150,Oakwood Court,310000,Flat / Apartment,2470,4,4,4,Holland Park,London,W14 8JS
151,Barnsbury Park,550000,House,3674,4,4,4,Islington,London,N1 1HQ
152,Fieldsway House,92500,Flat / Apartment,1012,3,3,3, Highbury,London,N5 1QA
153,Long & Waterson Apartments,55000,Penthouse,414,1,1,1, Hackney,London,E2 8HN
154,Mare Street,26000,Studio,381,0,0,0,Hackney,London,E8 3RH
155,Reliance Wharf,55000,Flat / Apartment,547,1,1,1,Hertford Road,London,N1 5ET
156,Gayton Road,240000,House,2202,5,5,5,Hampstead,London,NW3 1TU
157,Ram Quarter,58000,New development,460,1,1,1, Wandsworth,London,SW18 1TH
158,Grimston Road,230000,House,2785,5,5,5,Fulham,London,SW6 3QR
159,Balham Grove,120000,House,1270,3,3,3,,London,SW12 8BE
160,Fernside Road,150000,House,1934,5,5,5,,London,SW12 8LH
161,Walsingham Place,225000,House,2605,5,5,5,,London,SW4 9RR
162,Englewood Road,150000,House,2047,4,4,4,,London,SW12 9NZ
163,Streathbourne Road,215000,House,2850,5,5,5,,London,SW17 8RA
164,Rowfant Road,159500,House,2555,6,6,6,,London,SW17 7AP
165,Tantallon Road,156500,House,2088,5,5,5,,London,SW12 8DH
166,Honeybrook Road,150000,House,2173,5,5,5,,London,SW12 0DL
167,Fenn Mansions,40000,Flat / Apartment,774,2,2,2,20 Love Lane,London,SE18 6GY
168,New Providence Wharf,41500,Flat / Apartment,525,1,1,1, Canary Wharf,London,E14 9PW
169,Enclave Court,139500,Penthouse,1230,2,2,2,2 Dallington Street,London,EC1V 0BH
170,Fairfax Road,280000,House,2734,6,6,6, Chiswick,London,W4 1EN
171,Redcliffe Gardens,119500,Flat / Apartment,872,2,2,2,Chelsea,London,SW10 9HA
172,Drayton Court,275000,Flat / Apartment,1839,4,4,4,Drayton Gardens,London,SW10 9RH
173,Lower Mall,695000,House,5501,6,6,6,Hammersmith,London,W6 9DJ
174,Albert Bridge Road,275000,House,2675,4,4,4,Battersea,London,SW11 4PX
175,Ridgway,52500,Flat / Apartment,514,2,2,2,Wimbledon,London,SW19 4SX
176,Lowndes Square,545000,Flat / Apartment,1920,3,3,3,,London,SW1X 9HB
177,Basilica Mews,232500,New development,2392,4,4,4,,Thurleigh Road,SW12 8UF
178,Devonshire Mews South,375000,House,3256,3,3,3,Marylebone,London,W1G 6QW
179,Ovington Gardens,175000,Flat / Apartment,714,2,2,2,,London,SW3 1LS
180,Cubitt Building,75000,Flat / Apartment,604,1,1,1, Chelsea,London,SW1W 8QL
181,Iverna Court,315000,Flat / Apartment,1755,4,4,4,,London,W8 6TS
182,Selborne Villas,115000,House,2357,4,4,4, Esher,Surrey,KT10 9UD
183,Waleorde Road,57500,Flat / Apartment,800,2,2,2,,London,SE17 1GG
184,Louisville Road,125000,House,2475,6,6,6,,London,SW17 8RU
185,Langroyd Road,115000,House,1703,4,4,4,,London,SW17 7PL
186,Dance Square,65000,Flat / Apartment,584,1,1,1, Clerkenwell,London,EC1V 3AN
187,Cranbrook Road,129500,House,1356,4,4,4,Chiswick,London,W4 2LH
188,Buer Road,76500,Flat / Apartment,1362,3,3,3, Fulham,London,SW6 4LA
189,Lillian Road,110000,House,1420,3,3,3,Barnes,London,SW13 9JF
190,Ranelagh Avenue,235000,House,2153,4,4,4,Barnes,London,SW13 0BL
191,Hillbrook Road,96500,House,1222,4,4,4,Tooting Bec,London,SW17  8SF
192,Weller Court,175000,Flat / Apartment,732,1,1,1, Holland Park,London,W11 3NT
193,"The oTTo, Hackney",80000,New development,1119,2,2,2, Clapton,E5 8DE,E5 8DS
194,The Grange,105000,House,2375,5,5,5, Walton-on-Thames,Surrey,KT12 3HN
195,Stuart Tower,47500,Flat / Apartment,525,1,1,1,105 Maida Vale,London,W9 1UJ
196,Abbey Road Cross,752500,New development,874,2,2,2,131-143 Belsize Road,London,NW6 4BR
197,Ardleigh Road,1399950,House,1748,4,4,4,,De Beauvoir,N1 4FA
198,Littleworth Avenue,279500,House,6061,7,7,7,Esher,Surrey,KT10 9PB
199,Ruxley Crescent,175000,New development,3913,4,4,4, Esher,Surrey,KT10 0TX
200,Clapham Common West Side,299500,House,3406,5,5,5,Between The Commons,London,SW4 9AU
201,Parkfield Avenue,182500,House,2500,5,5,5,,London,SW14 8DY
202,Sutherland House,55000,Flat / Apartment,609,2,2,2,137-139 Queenstown Road,London,SW8 3RJ
203,Hambalt Road,185000,House,2516,5,5,5,,London,SW4 9EL
204,Ormond House,62500,Flat / Apartment,428,1,1,1, Westminster,London,SW1P 2TB
205,Buckingham Gate,229000,Flat / Apartment,1604,2,2,2,St. James's,London,SW1E 6LB
206,Radnor Walk,345000,House,1820,5,5,5,Chelsea,London,SW3 4BN
207,King Henrys Road,99500,Flat / Apartment,710,2,2,2,Primrose Hill,London,NW3 3QR
208,ICON7,45000,New development,538,1,1,1, Holloway,London,N7 0JN
209,Montgomery Road,85000,Flat / Apartment,935,2,2,2,Chiswick,London,W4 5LZ
210,Carlton Mansions,97500,Flat / Apartment,950,2,2,2, Maida Vale,London,W9 1NP
211,Palace Gardens Terrace,185000,Flat / Apartment,924,3,3,3,,London,W8 4SA
212,Acer Road,94000,House,1074,3,3,3,Hackney,London,E8 3GX
213,Corkran Road,159500,House,3261,5,5,5,Surbiton,Surrey,KT6 6PN
214,Grosvenor Avenue,127500,House,1779,4,4,4,,London,SW14 8BT
215,Enmore Gardens,132500,House,1541,4,4,4,,London,SW14 8RF
216,Oxhey Road,85000,House,1687,4,4,4,Oxhey,Hertfordshire,WD19 4QG
217,Grandison Road,86500,Flat / Apartment,880,2,2,2,,London,SW11 6LN
218,Lavender Sweep,65000,Flat / Apartment,859,2,2,2,,London,SW11 1EA
219,Hollandgreen Place,350000,New development,1577,2,2,2,,London,W8 6AX
220,Horsell Road,169500,House,1944,5,5,5,Highbury,London,N5 1XP
221,Avon Court,399995,Flat / Apartment,472,1,1,1, Canary Wharf,London,E14 7SZ
222,Castelnau,575000,House,4682,6,6,6,Barnes,London,SW13 9EU
223,Lower Belgrave Street,465000,House,2865,4,4,4,Belgravia,London,SW1W 0LN
224,Harper Lane,165000,House,4016,8,8,8, Radlett,Hertfordshire,WD7 9HJ
225,Donne Place,280000,House,1448,3,3,3,,London,SW3 2NH
226,Oakley Road,110000,Flat / Apartment,1056,3,3,3,,London,N1 3LL
227,Goldhurst House,265000,Flat / Apartment,1811,3,3,3, Parr's Way,London,W6 9AN
228,Telford Avenue,157500,House,2550,5,5,5,,London,SW2 4XL
229,Mandeville Courtyard,52500,Flat / Apartment,775,1,1,1,142 Battersea Park Road,London,SW11 4NB
230,Tufton Street,165000,Flat / Apartment,1099,2,2,2,Westminster,London,SW1P 3AF
231,Colosseum Terrace,85000,Flat / Apartment,726,2,2,2,Albany Street,London,NW1 4EB
232,Rede Place,270000,House,1791,3,3,3,Notting Hill,London,W2 4TU
233,Tennyson Road,69500,House,795,2,2,2,Wimbledon,London,SW19 8SH
234,Coleford Road,140000,House,1799,4,4,4,London,Wandsworth,SW18 1AD
235,St. Anns Terrace,205000,House,1293,3,3,3,St John's Wood,London,NW8 6PJ
236,Durward Street,61500,Flat / Apartment,972,2,2,2,Whitechapel,London,E1 5BA
237,Fairacres,10000,Flat / Apartment,1777,3,3,3, Putney,London,SW15 5LX
238,Clapham Park Road,31500,Flat / Apartment,526,1,1,1,,London,SW4 7EX
239,Moore House,185000,New development,1328,3,3,3,2 Gatliff Road,London,SW1W 8DT
240,Graham Terrace,289500,House,1289,3,3,3,,London,SW1W 8HN
241,Whiston House,45000,Flat / Apartment,459,1,1,1,Bingham Court,London,N1 2DH
242,Grand Avenue,50000,House,963,2,2,2,Surbiton,Surrey,KT5 9HU
243,Tooting Bec Road,67500,Flat / Apartment,949,2,2,2,,London,SW17 8BW
244,Dance Square,65000,Flat / Apartment,583,1,1,1,Peartree Street,Clerkenwell,EC1V 3AN
245,Flanders Road,139500,House,1068,1,1,1,Chiswick,London,W4 1NB
246,The Spinney,239500,House,4966,5,5,5, Oxshott,Surrey,KT22 0PL
247,Astley House,72500,Flat / Apartment,858,3,3,3,42 Trinity Church Road,London,SW13 8EA
248,Suffolk Road,20000,House,2525,4,4,4,Barnes,London,SW13 9PH
249,Shorrolds Road,62500,Flat / Apartment,664,2,2,2,,London,SW6 7TP
250,Raynham Road,135000,House,1328,3,3,3,Brackenbury Village,London,W6 0HY
251,Henning Street,210000,House,2191,4,4,4,Battersea,London,SW11 3DR
252,The Mount,365000,House,8034,6,6,6,Esher,Surrey,KT10 8LQ
253,Palewell Park,185000,House,1892,4,4,4,,London,SW14 8JJ
254,Cranbourne Court,150000,Flat / Apartment,1132,3,3,3,Albert Bridge Road,London,SW11 4PE
255,Rothwell Street,362500,House,2190,4,4,4,Primrose Hill,London,NW1 8YH
256,New Concordia Wharf,150000,Flat / Apartment,1274,2,2,2,Mill Street,London,SE1 2BB
257,Castelnau,52500,Flat / Apartment,630,2,2,2,Barnes,London,SW13 9ER
258,Banbury House,29000,Flat / Apartment,455,1,1,1,Banbury Road,London,E9 7ED
259,Putney Heath Lane,172500,House,2931,5,5,5,Putney,London,SW15 3JG
260,Rydon Street,139500,House,1510,3,3,3,Islington,London,N1 7AL
261,Aragon Tower,40000,Flat / Apartment,705,2,2,2,George Beard Road,Deptford,SE8 3AL
262,Cadogan Lane,335000,House,1504,3,3,3,,London,SW1X 9DU
263,Cedar Mews,179500,House,2067,4,4,4, Putney,London,SW15 6ED
264,Tormead,60000,Flat / Apartment,1160,2,2,2, Northwood,Middlesex,HA6 2BX
265,Kent Avenue,150000,House,1997,4,4,4,Ealing,London,W13 8BH
266,Trefoil Road,160000,House,2149,4,4,4,Wandsworth,London,SW18 2EQ
267,Thirlmere Road,155000,House,3620,7,7,7,,London,SW16 1QW
268,The Regency,132500,Flat / Apartment,1195,3,3,3, Westminster,London,SW1P 4HD
269,Murray Mews,139500,House,1587,3,3,3,Camden,London,NW1 9RJ
270,Wilmington Square,73500,Flat / Apartment,849,2,2,2,,London,WC1X 0ER
271,Lynwood Road,82500,House,2094,4,4,4,Thames Ditton,Surrey,KT7 0DJ
272,Telfords Yard,150000,Flat / Apartment,2550,3,3,3,,London,E1W 2BQ
273,Landmark East Tower,67900,Flat / Apartment,832,2,2,2, Canary Wharf,London,E14 9DB
274,Stanley Mansions,150000,Flat / Apartment,1244,3,3,3,Park Walk,London,SW10 0AG
275,Ducks Hill Road,10000,New development,1501,3,3,3,Northwood,Middlesex,HA6 2SB
276,Blomfield Road,499500,House,3035,4,4,4,Little Venice,London,W9 2PF
277,Wadham Road,135000,House,1604,4,4,4,Putney,London,SW15 2LS
278,Bingfield Street,62500,New development,723,2,2,2,,London,N1 0BH
279,Orsman Road,60000,Flat / Apartment,660,2,2,2,Hackney,London,N1 5QL
280,Cinnabar Wharf East,87500,Flat / Apartment,627,1,1,1,28 Wapping High Street,London,E1W 1NG
281,Boardwalk Place,56500,Flat / Apartment,872,2,2,2,Canary Wharf,London,E14 5SH
282,Carlyle Square,585000,House,3128,5,5,5,,London,SW3 6EX
283,Burlington Lodge Studios,125000,Flat / Apartment,1201,2,2,2,48 Rigault Road,London,SW6 4JJ
284,Overstrand Mansions,180000,Flat / Apartment,1453,3,3,3,Prince of Wales Drive,London,SW11 4HA
285,Eden House,149500,New development,1781,4,4,4,New Road,London,N8 8TA
286,Fentiman Road,310000,House,3800,8,8,8,,London,SW8 1QA
287,Craven Gardens,105000,Flat / Apartment,1831,3,3,3,Wimbledon,London,SW19 8LU
288,Leopold Road,185000,House,2503,5,5,5,Wimbledon,London,SW19 7JG
289,Queensland Road,73000,Flat / Apartment,1061,3,3,3,,London,N7 7FF
290,St. Marys Road,290000,House,5896,7,7,7, Surbiton,Surrey,KT6 5EY
291,Rowfant Road,65000,Flat / Apartment,736,2,2,2,,London,SW17 7AP
292,Cleveland Gardens,210000,House,2438,5,5,5,Barnes,London,SW13 0AJ
293,Elm Bank Gardens,225000,House,2600,5,5,5,Barnes,London,SW13 0NT
294,Belleville Road,169500,House,1867,5,5,5,,London,SW11 6QT
295,Cottenham Park Road,137500,House,1884,4,4,4,Wimbledon,London,SW20 0SB
296,Barmouth Road,140000,House,2138,5,5,5,Wandsworth,London,SW18 2DT
297,St. Stephen's Gardens,63500,Flat / Apartment,927,2,2,2,Putney,London,SW15 2RR
298,Upper St. Martin's Lane,299500,Penthouse,1845,3,3,3,,London,WC2H 9DL
299,Egerton Gardens,10000,House,1758,4,4,4,,Ealing,W13 8HQ
300,Alpine Grove,449950,Flat / Apartment,526,2,2,2,South Hackney,London,E9 7SX
301,Townshend Court,42500,Flat / Apartment,474,1,1,1,Shannon Place,London,NW8 7DP
302,High Road,65000,House,1783,3,3,3, Coulsdon,Surrey,CR5 3SD
303,Parkfields,179500,House,1902,3,3,3,Putney,London,SW15 6NH
304,Fitzroy Road,160000,Flat / Apartment,801,2,2,2,Primrose Hill,London,NW1 8TU
305,The Lodge,175000,Flat / Apartment,1002,3,3,3,Kensington Park Gardens,London,W11 3HA
306,Culmstock Road,205000,House,2275,5,5,5,,London,SW11 6LX
307,Mallinson Road,115000,Flat / Apartment,1371,3,3,3,,London,SW11 1BW
308,South Terrace,99500,House,2446,5,5,5,,London,SW7 2TB
309,Douglas Road,190000,House,1703,5,5,5,Islington,London,N1 2LD
310,Union Wharf,67500,Flat / Apartment,792,1,1,1,23 Wenlock Road,London,N1 7SJ
311,Long & Waterson Apartments,150000,New development,1273,3,3,3, Hackney,London,E2 8HN
312,ICON7,62000,New development,786,2,2,2, Holloway,London,N7 0JN
313,Branch Place,65000,Flat / Apartment,747,2,2,2,De Beauvoir,London,N1 5PH
314,Hermitage Court,50000,Flat / Apartment,663,1,1,1,Knighten Street,London,E1W 1PW
315,Kirkstall Road,139500,House,2006,5,5,5,,London,SW2 4HF
316,St. Peters Square,295000,House,3597,4,4,4,,London,W6 9AJ
317,Carlton House,76500,New development,841,2,2,2,Carlton Drive,London,SW15 2BS
318,Cleveland Gardens,160000,House,1854,4,4,4,Barnes,London,SW13 0AH
319,Abercrombie Street,97500,House,1126,3,3,3,,London,SW11 2JB
320,Juer Street,1699999,House,2119,5,5,5,Battersea,London,SW11 4RF
321,Foxmore Street,95000,Flat / Apartment,1294,4,4,4,Battersea,London,SW11 4PU
322,Southwick Mews,215000,House,1582,3,3,3,Paddington,London,W2 1JG
323,Pall Mall,295000,Penthouse,1840,2,2,2,St James's,London,SW1Y 5JH
324,Britannia Road,150000,House,1115,3,3,3,Fulham,London,SW6 2HJ
325,Tradewinds Court,65000,Flat / Apartment,882,2,2,2,Asher Way,London,E1W 2JB
326,Sunnyhill Road,95000,House,1700,4,4,4,,London,SW16 2UW
327,Tantallon Road,62500,Flat / Apartment,663,2,2,2,,London,SW12 8DG
328,Leys Road,482500,House,10475,7,7,7,Oxshott,Surrey,KT22 0QE
329,Lillian Road,157500,House,1983,4,4,4,Barnes,London,SW13 9JG
330,Christchurch Street,255000,House,1266,3,3,3,,London,SW3 4AR
331,Abercrombie Street,52500,Flat / Apartment,707,2,2,2,Battersea,London,SW11 2JB
332,Rutland Road,77500,Flat / Apartment,967,2,2,2,South Hackney,London,E9 7TT
